Code,INL
1.364000000000000000e+03,1.003367855398143774e+03
2.729000000000000000e+03,2.006735710796287549e+03
4.094000000000000000e+03,3.010103566194431551e+03
5.459000000000000000e+03,4.013471421592575098e+03
6.824000000000000000e+03,5.016839276990718645e+03
