Input_Voltage,Output_Code,Residue,DAC_Voltage
-1.000000000000000000e+00,0.000000000000000000e+00,-2.000800320128045318e+00,-1.000000000000000000e+00
-9.979999999999999982e-01,0.000000000000000000e+00,-1.984793917567020616e+00,-1.000000000000000000e+00
-9.959999999999999964e-01,0.000000000000000000e+00,-1.968787515005996136e+00,-1.000000000000000000e+00
-9.939999999999999947e-01,0.000000000000000000e+00,-1.952781112444971656e+00,-1.000000000000000000e+00
-9.919999999999999929e-01,0.000000000000000000e+00,-1.936774709883947176e+00,-1.000000000000000000e+00
-9.899999999999999911e-01,0.000000000000000000e+00,-1.920768307322923585e+00,-1.000000000000000000e+00
-9.879999999999999893e-01,0.000000000000000000e+00,-1.904761904761899105e+00,-1.000000000000000000e+00
-9.859999999999999876e-01,0.000000000000000000e+00,-1.888755502200874847e+00,-1.000000000000000000e+00
-9.839999999999999858e-01,0.000000000000000000e+00,-1.872749099639850368e+00,-1.000000000000000000e+00
-9.819999999999999840e-01,0.000000000000000000e+00,-1.856742697078825666e+00,-1.000000000000000000e+00
-9.799999999999999822e-01,0.000000000000000000e+00,-1.840736294517801186e+00,-1.000000000000000000e+00
-9.779999999999999805e-01,0.000000000000000000e+00,-1.824729891956776928e+00,-1.000000000000000000e+00
-9.759999999999999787e-01,0.000000000000000000e+00,-1.808723489395752226e+00,-1.000000000000000000e+00
-9.739999999999999769e-01,0.000000000000000000e+00,-1.792717086834728857e+00,-1.000000000000000000e+00
-9.719999999999999751e-01,0.000000000000000000e+00,-1.776710684273704155e+00,-1.000000000000000000e+00
-9.699999999999999734e-01,0.000000000000000000e+00,-1.760704281712679897e+00,-1.000000000000000000e+00
-9.679999999999999716e-01,0.000000000000000000e+00,-1.744697879151655417e+00,-1.000000000000000000e+00
-9.659999999999999698e-01,0.000000000000000000e+00,-1.728691476590630938e+00,-1.000000000000000000e+00
-9.639999999999999680e-01,0.000000000000000000e+00,-1.712685074029606236e+00,-1.000000000000000000e+00
-9.619999999999999662e-01,0.000000000000000000e+00,-1.696678671468581978e+00,-1.000000000000000000e+00
-9.599999999999999645e-01,0.000000000000000000e+00,-1.680672268907557498e+00,-1.000000000000000000e+00
-9.579999999999999627e-01,0.000000000000000000e+00,-1.664665866346532797e+00,-1.000000000000000000e+00
-9.559999999999999609e-01,0.000000000000000000e+00,-1.648659463785509427e+00,-1.000000000000000000e+00
-9.539999999999999591e-01,0.000000000000000000e+00,-1.632653061224484947e+00,-1.000000000000000000e+00
-9.519999999999999574e-01,0.000000000000000000e+00,-1.616646658663460467e+00,-1.000000000000000000e+00
-9.499999999999999556e-01,0.000000000000000000e+00,-1.600640256102435988e+00,-1.000000000000000000e+00
-9.479999999999999538e-01,0.000000000000000000e+00,-1.584633853541411286e+00,-1.000000000000000000e+00
-9.459999999999999520e-01,0.000000000000000000e+00,-1.568627450980386806e+00,-1.000000000000000000e+00
-9.439999999999999503e-01,0.000000000000000000e+00,-1.552621048419362548e+00,-1.000000000000000000e+00
-9.419999999999999485e-01,0.000000000000000000e+00,-1.536614645858338069e+00,-1.000000000000000000e+00
-9.399999999999999467e-01,0.000000000000000000e+00,-1.520608243297314477e+00,-1.000000000000000000e+00
-9.379999999999999449e-01,0.000000000000000000e+00,-1.504601840736289997e+00,-1.000000000000000000e+00
-9.359999999999999432e-01,0.000000000000000000e+00,-1.488595438175265517e+00,-1.000000000000000000e+00
-9.339999999999999414e-01,0.000000000000000000e+00,-1.472589035614241038e+00,-1.000000000000000000e+00
-9.319999999999999396e-01,0.000000000000000000e+00,-1.456582633053216558e+00,-1.000000000000000000e+00
-9.299999999999999378e-01,0.000000000000000000e+00,-1.440576230492191856e+00,-1.000000000000000000e+00
-9.279999999999999361e-01,0.000000000000000000e+00,-1.424569827931167598e+00,-1.000000000000000000e+00
-9.260000000000000453e-01,0.000000000000000000e+00,-1.408563425370144007e+00,-1.000000000000000000e+00
-9.240000000000000435e-01,0.000000000000000000e+00,-1.392557022809119527e+00,-1.000000000000000000e+00
-9.220000000000000417e-01,0.000000000000000000e+00,-1.376550620248095047e+00,-1.000000000000000000e+00
-9.200000000000000400e-01,0.000000000000000000e+00,-1.360544217687071678e+00,-1.000000000000000000e+00
-9.180000000000000382e-01,0.000000000000000000e+00,-1.344537815126047198e+00,-1.000000000000000000e+00
-9.160000000000000364e-01,0.000000000000000000e+00,-1.328531412565022496e+00,-1.000000000000000000e+00
-9.140000000000000346e-01,0.000000000000000000e+00,-1.312525010003998016e+00,-1.000000000000000000e+00
-9.120000000000000329e-01,0.000000000000000000e+00,-1.296518607442973758e+00,-1.000000000000000000e+00
-9.100000000000000311e-01,0.000000000000000000e+00,-1.280512204881949279e+00,-1.000000000000000000e+00
-9.080000000000000293e-01,0.000000000000000000e+00,-1.264505802320924577e+00,-1.000000000000000000e+00
-9.060000000000000275e-01,0.000000000000000000e+00,-1.248499399759900097e+00,-1.000000000000000000e+00
-9.040000000000000258e-01,0.000000000000000000e+00,-1.232492997198876727e+00,-1.000000000000000000e+00
-9.020000000000000240e-01,0.000000000000000000e+00,-1.216486594637852248e+00,-1.000000000000000000e+00
-9.000000000000000222e-01,0.000000000000000000e+00,-1.200480192076827768e+00,-1.000000000000000000e+00
-8.980000000000000204e-01,0.000000000000000000e+00,-1.184473789515803066e+00,-1.000000000000000000e+00
