Code,INL
1.364000000000000000e+03,1.003367855398143774e+03
2.729000000000000000e+03,3.031110893991206922e+03
4.094000000000000000e+03,5.058853932584270297e+03
5.459000000000000000e+03,7.086596971177333216e+03
