Input_Voltage,Digital_Output
-1.000000000000000000e+00,1.024000000000000000e+03
-9.990229604298974664e-01,1.280000000000000000e+03
-9.980459208597948217e-01,1.344000000000000000e+03
-9.970688812896921771e-01,1.360000000000000000e+03
-9.960918417195896435e-01,1.364000000000000000e+03
-9.951148021494871099e-01,1.365000000000000000e+03
-9.941377625793844652e-01,1.365000000000000000e+03
-9.931607230092818206e-01,1.365000000000000000e+03
-9.921836834391792870e-01,1.365000000000000000e+03
-9.912066438690767534e-01,1.365000000000000000e+03
-9.902296042989741087e-01,1.365000000000000000e+03
-9.892525647288714641e-01,1.365000000000000000e+03
-9.882755251587689305e-01,1.365000000000000000e+03
-9.872984855886663969e-01,1.365000000000000000e+03
-9.863214460185637522e-01,1.365000000000000000e+03
-9.853444064484611076e-01,1.365000000000000000e+03
-9.843673668783585740e-01,1.365000000000000000e+03
-9.833903273082560403e-01,1.365000000000000000e+03
-9.824132877381533957e-01,1.365000000000000000e+03
-9.814362481680507511e-01,1.365000000000000000e+03
-9.804592085979482174e-01,1.365000000000000000e+03
-9.794821690278456838e-01,1.365000000000000000e+03
-9.785051294577430392e-01,1.365000000000000000e+03
-9.775280898876403946e-01,1.365000000000000000e+03
-9.765510503175378609e-01,1.365000000000000000e+03
-9.755740107474353273e-01,1.365000000000000000e+03
-9.745969711773326827e-01,1.365000000000000000e+03
-9.736199316072300380e-01,1.365000000000000000e+03
-9.726428920371275044e-01,1.365000000000000000e+03
-9.716658524670249708e-01,1.365000000000000000e+03
-9.706888128969223262e-01,1.365000000000000000e+03
-9.697117733268196815e-01,1.365000000000000000e+03
-9.687347337567171479e-01,1.365000000000000000e+03
-9.677576941866146143e-01,1.365000000000000000e+03
-9.667806546165119697e-01,1.365000000000000000e+03
-9.658036150464093250e-01,1.365000000000000000e+03
-9.648265754763067914e-01,1.365000000000000000e+03
-9.638495359062042578e-01,1.365000000000000000e+03
-9.628724963361016131e-01,1.365000000000000000e+03
-9.618954567659989685e-01,1.365000000000000000e+03
-9.609184171958964349e-01,1.365000000000000000e+03
-9.599413776257939013e-01,1.365000000000000000e+03
-9.589643380556912566e-01,1.365000000000000000e+03
-9.579872984855886120e-01,1.365000000000000000e+03
-9.570102589154860784e-01,1.365000000000000000e+03
-9.560332193453835448e-01,1.365000000000000000e+03
-9.550561797752809001e-01,1.365000000000000000e+03
-9.540791402051782555e-01,1.365000000000000000e+03
-9.531021006350757219e-01,1.365000000000000000e+03
-9.521250610649731883e-01,1.365000000000000000e+03
-9.511480214948705436e-01,1.365000000000000000e+03
-9.501709819247678990e-01,1.365000000000000000e+03
-9.491939423546653654e-01,1.365000000000000000e+03
-9.482169027845628317e-01,1.365000000000000000e+03
-9.472398632144601871e-01,1.365000000000000000e+03
-9.462628236443575425e-01,1.365000000000000000e+03
-9.452857840742550088e-01,1.365000000000000000e+03
-9.443087445041524752e-01,1.365000000000000000e+03
-9.433317049340498306e-01,1.365000000000000000e+03
-9.423546653639471860e-01,1.365000000000000000e+03
-9.413776257938446523e-01,1.365000000000000000e+03
-9.404005862237421187e-01,1.365000000000000000e+03
-9.394235466536394741e-01,1.365000000000000000e+03
-9.384465070835368294e-01,1.365000000000000000e+03
-9.374694675134342958e-01,1.365000000000000000e+03
-9.364924279433317622e-01,1.365000000000000000e+03
-9.355153883732291176e-01,1.365000000000000000e+03
-9.345383488031264729e-01,1.365000000000000000e+03
-9.335613092330239393e-01,1.365000000000000000e+03
-9.325842696629214057e-01,1.365000000000000000e+03
-9.316072300928187611e-01,1.365000000000000000e+03
-9.306301905227161164e-01,1.365000000000000000e+03
-9.296531509526135828e-01,1.365000000000000000e+03
-9.286761113825110492e-01,1.365000000000000000e+03
-9.276990718124084045e-01,1.365000000000000000e+03
-9.267220322423057599e-01,1.365000000000000000e+03
-9.257449926722032263e-01,1.365000000000000000e+03
-9.247679531021006927e-01,1.365000000000000000e+03
-9.237909135319980480e-01,1.365000000000000000e+03
-9.228138739618954034e-01,1.365000000000000000e+03
-9.218368343917928698e-01,1.365000000000000000e+03
-9.208597948216903362e-01,1.365000000000000000e+03
-9.198827552515876915e-01,1.365000000000000000e+03
-9.189057156814850469e-01,1.365000000000000000e+03
-9.179286761113825133e-01,1.365000000000000000e+03
-9.169516365412799797e-01,1.365000000000000000e+03
-9.159745969711773350e-01,1.365000000000000000e+03
-9.149975574010746904e-01,1.365000000000000000e+03
-9.140205178309721568e-01,1.365000000000000000e+03
-9.130434782608696231e-01,1.365000000000000000e+03
-9.120664386907669785e-01,1.365000000000000000e+03
-9.110893991206643339e-01,1.365000000000000000e+03
-9.101123595505618002e-01,1.365000000000000000e+03
-9.091353199804592666e-01,1.365000000000000000e+03
-9.081582804103566220e-01,1.365000000000000000e+03
-9.071812408402539774e-01,1.365000000000000000e+03
-9.062042012701514437e-01,1.365000000000000000e+03
